PING 10.45.1.1 (10.45.1.1) 56(84) bytes of data.
64 bytes from 10.45.1.1: icmp_seq=1 ttl=64 time=47.7 ms
64 bytes from 10.45.1.1: icmp_seq=2 ttl=64 time=55.0 ms
64 bytes from 10.45.1.1: icmp_seq=3 ttl=64 time=57.0 ms
64 bytes from 10.45.1.1: icmp_seq=4 ttl=64 time=33.3 ms
64 bytes from 10.45.1.1: icmp_seq=5 ttl=64 time=40.1 ms
64 bytes from 10.45.1.1: icmp_seq=6 ttl=64 time=41.6 ms
64 bytes from 10.45.1.1: icmp_seq=7 ttl=64 time=71.3 ms
64 bytes from 10.45.1.1: icmp_seq=8 ttl=64 time=30.4 ms
64 bytes from 10.45.1.1: icmp_seq=9 ttl=64 time=36.5 ms
64 bytes from 10.45.1.1: icmp_seq=10 ttl=64 time=48.7 ms
64 bytes from 10.45.1.1: icmp_seq=11 ttl=64 time=44.8 ms
64 bytes from 10.45.1.1: icmp_seq=12 ttl=64 time=65.1 ms
64 bytes from 10.45.1.1: icmp_seq=13 ttl=64 time=87.5 ms
64 bytes from 10.45.1.1: icmp_seq=14 ttl=64 time=81.7 ms
64 bytes from 10.45.1.1: icmp_seq=15 ttl=64 time=93.0 ms
64 bytes from 10.45.1.1: icmp_seq=16 ttl=64 time=85.2 ms
64 bytes from 10.45.1.1: icmp_seq=17 ttl=64 time=69.6 ms
64 bytes from 10.45.1.1: icmp_seq=18 ttl=64 time=52.4 ms
64 bytes from 10.45.1.1: icmp_seq=19 ttl=64 time=69.7 ms
64 bytes from 10.45.1.1: icmp_seq=20 ttl=64 time=65.2 ms
64 bytes from 10.45.1.1: icmp_seq=21 ttl=64 time=48.8 ms
64 bytes from 10.45.1.1: icmp_seq=22 ttl=64 time=101 ms
64 bytes from 10.45.1.1: icmp_seq=23 ttl=64 time=55.9 ms
64 bytes from 10.45.1.1: icmp_seq=24 ttl=64 time=44.8 ms
64 bytes from 10.45.1.1: icmp_seq=25 ttl=64 time=82.5 ms
64 bytes from 10.45.1.1: icmp_seq=26 ttl=64 time=52.7 ms
64 bytes from 10.45.1.1: icmp_seq=27 ttl=64 time=148 ms
64 bytes from 10.45.1.1: icmp_seq=28 ttl=64 time=81.6 ms
64 bytes from 10.45.1.1: icmp_seq=29 ttl=64 time=73.2 ms
64 bytes from 10.45.1.1: icmp_seq=30 ttl=64 time=224 ms
64 bytes from 10.45.1.1: icmp_seq=31 ttl=64 time=93.0 ms
64 bytes from 10.45.1.1: icmp_seq=32 ttl=64 time=54.8 ms
64 bytes from 10.45.1.1: icmp_seq=33 ttl=64 time=41.3 ms
64 bytes from 10.45.1.1: icmp_seq=34 ttl=64 time=71.3 ms
64 bytes from 10.45.1.1: icmp_seq=35 ttl=64 time=47.3 ms
64 bytes from 10.45.1.1: icmp_seq=36 ttl=64 time=62.3 ms
64 bytes from 10.45.1.1: icmp_seq=37 ttl=64 time=60.1 ms
64 bytes from 10.45.1.1: icmp_seq=38 ttl=64 time=69.2 ms
64 bytes from 10.45.1.1: icmp_seq=39 ttl=64 time=54.9 ms
64 bytes from 10.45.1.1: icmp_seq=40 ttl=64 time=34.3 ms
64 bytes from 10.45.1.1: icmp_seq=41 ttl=64 time=60.8 ms
64 bytes from 10.45.1.1: icmp_seq=42 ttl=64 time=47.0 ms
64 bytes from 10.45.1.1: icmp_seq=43 ttl=64 time=48.5 ms
64 bytes from 10.45.1.1: icmp_seq=44 ttl=64 time=58.0 ms
64 bytes from 10.45.1.1: icmp_seq=45 ttl=64 time=43.6 ms
64 bytes from 10.45.1.1: icmp_seq=46 ttl=64 time=35.4 ms
64 bytes from 10.45.1.1: icmp_seq=47 ttl=64 time=46.8 ms
64 bytes from 10.45.1.1: icmp_seq=48 ttl=64 time=49.0 ms
64 bytes from 10.45.1.1: icmp_seq=49 ttl=64 time=30.5 ms
64 bytes from 10.45.1.1: icmp_seq=50 ttl=64 time=54.0 ms
64 bytes from 10.45.1.1: icmp_seq=51 ttl=64 time=43.3 ms
64 bytes from 10.45.1.1: icmp_seq=52 ttl=64 time=30.2 ms
64 bytes from 10.45.1.1: icmp_seq=53 ttl=64 time=74.7 ms
64 bytes from 10.45.1.1: icmp_seq=54 ttl=64 time=58.9 ms
64 bytes from 10.45.1.1: icmp_seq=55 ttl=64 time=33.3 ms
64 bytes from 10.45.1.1: icmp_seq=56 ttl=64 time=57.1 ms
64 bytes from 10.45.1.1: icmp_seq=57 ttl=64 time=39.0 ms
64 bytes from 10.45.1.1: icmp_seq=58 ttl=64 time=55.8 ms
64 bytes from 10.45.1.1: icmp_seq=59 ttl=64 time=48.8 ms
64 bytes from 10.45.1.1: icmp_seq=60 ttl=64 time=40.4 ms
64 bytes from 10.45.1.1: icmp_seq=61 ttl=64 time=30.9 ms
64 bytes from 10.45.1.1: icmp_seq=62 ttl=64 time=57.8 ms
64 bytes from 10.45.1.1: icmp_seq=63 ttl=64 time=31.3 ms
64 bytes from 10.45.1.1: icmp_seq=64 ttl=64 time=38.5 ms
64 bytes from 10.45.1.1: icmp_seq=65 ttl=64 time=38.7 ms
64 bytes from 10.45.1.1: icmp_seq=66 ttl=64 time=59.7 ms
64 bytes from 10.45.1.1: icmp_seq=67 ttl=64 time=37.0 ms
64 bytes from 10.45.1.1: icmp_seq=68 ttl=64 time=35.4 ms
64 bytes from 10.45.1.1: icmp_seq=69 ttl=64 time=53.6 ms
64 bytes from 10.45.1.1: icmp_seq=70 ttl=64 time=34.9 ms
64 bytes from 10.45.1.1: icmp_seq=71 ttl=64 time=35.8 ms
